Year,Week,Week Ending Date,Total Deaths (All Causes)
2015,1,2015-01-10,49537
2015,2,2015-01-17,49008
2015,3,2015-01-24,46846
2015,4,2015-01-31,45722
2015,5,2015-02-07,45537
2015,6,2015-02-14,44896
2015,7,2015-02-21,44746
2015,8,2015-02-28,44273
2015,9,2015-03-07,44102
2015,10,2015-03-14,43727
2015,11,2015-03-21,42744
2015,12,2015-03-28,42223
2015,13,2015-04-04,41753
2015,14,2015-04-11,41533
2015,15,2015-04-18,41611
2015,16,2015-04-25,40510
2015,17,2015-05-02,40536
2015,18,2015-05-09,40364
2015,19,2015-05-16,39617
2015,20,2015-05-23,38539
2015,21,2015-05-30,38813
2015,22,2015-06-06,38149
2015,23,2015-06-13,38590
2015,24,2015-06-20,38124
2015,25,2015-06-27,38161
2015,26,2015-07-04,38269
2015,27,2015-07-11,37793
2015,28,2015-07-18,38263
2015,29,2015-07-25,37587
2015,30,2015-08-01,37309
2015,31,2015-08-08,36669
2015,32,2015-08-15,37235
2015,33,2015-08-22,37407
2015,34,2015-08-29,37633
2015,35,2015-09-05,37490
2015,36,2015-09-12,37755
2015,37,2015-09-19,37910
2015,38,2015-09-26,38083
2015,39,2015-10-03,38005
2015,40,2015-10-10,39444
2015,41,2015-10-17,38612
2015,42,2015-10-24,39561
2015,43,2015-10-31,39392
2015,44,2015-11-07,39997
2015,45,2015-11-14,39392
2015,46,2015-11-21,40177
2015,47,2015-11-28,40021
2015,48,2015-12-05,40644
2015,49,2015-12-12,41986
2015,50,2015-12-19,40533
2015,51,2015-12-26,41304
2015,52,2016-01-02,41223
2016,1,2016-01-09,43922
2016,2,2016-01-16,43858
2016,3,2016-01-23,43515
2016,4,2016-01-30,43898
2016,5,2016-02-06,42982
2016,6,2016-02-13,43356
2016,7,2016-02-20,43854
2016,8,2016-02-27,43157
2016,9,2016-03-05,43753
2016,10,2016-03-12,43971
2016,11,2016-03-19,42711
2016,12,2016-03-26,42942
2016,13,2016-04-02,42273
2016,14,2016-04-09,42156
2016,15,2016-04-16,41740
2016,16,2016-04-23,41561
2016,17,2016-04-30,39801
2016,18,2016-05-07,39830
2016,19,2016-05-14,39597
2016,20,2016-05-21,39197
2016,21,2016-05-28,39134
2016,22,2016-06-04,38425
2016,23,2016-06-11,38434
2016,24,2016-06-18,38319
2016,25,2016-06-25,38176
2016,26,2016-07-02,38194
2016,27,2016-07-09,37995
2016,28,2016-07-16,38186
2016,29,2016-07-23,37679
2016,30,2016-07-30,38066
2016,31,2016-08-06,37772
2016,32,2016-08-13,38270
2016,33,2016-08-20,38369
2016,34,2016-08-27,38029
2016,35,2016-09-03,38155
2016,36,2016-09-10,38339
2016,37,2016-09-17,38325
2016,38,2016-09-24,38498
2016,39,2016-10-01,38758
2016,40,2016-10-08,39406
2016,41,2016-10-15,40363
2016,42,2016-10-22,39759
2016,43,2016-10-29,40179
2016,44,2016-11-05,39966
2016,45,2016-11-12,40749
2016,46,2016-11-19,41473
2016,47,2016-11-26,41013
2016,48,2016-12-03,42157
2016,49,2016-12-10,42865
2016,50,2016-12-17,43758
2016,51,2016-12-24,44357
2016,52,2016-12-31,45132
2017,1,2017-01-07,46751
2017,2,2017-01-14,47970
2017,3,2017-01-21,46691
2017,4,2017-01-28,45515
2017,5,2017-02-04,45930
2017,6,2017-02-11,46200
2017,7,2017-02-18,46116
2017,8,2017-02-25,45968
2017,9,2017-03-04,44663
2017,10,2017-03-11,44920
2017,11,2017-03-18,44661
2017,12,2017-03-25,44490
2017,13,2017-04-01,43567
2017,14,2017-04-08,42802
2017,15,2017-04-15,42681
2017,16,2017-04-22,41255
2017,17,2017-04-29,41402
2017,18,2017-05-06,40658
2017,19,2017-05-13,40356
2017,20,2017-05-20,40474
2017,21,2017-05-27,39380
2017,22,2017-06-03,39336
2017,23,2017-06-10,39316
2017,24,2017-06-17,39047
2017,25,2017-06-24,39225
2017,26,2017-07-01,38802
2017,27,2017-07-08,38792
2017,28,2017-07-15,38456
2017,29,2017-07-22,38235
2017,30,2017-07-29,37687
2017,31,2017-08-05,38164
2017,32,2017-08-12,38399
2017,33,2017-08-19,38395
2017,34,2017-08-26,37945
2017,35,2017-09-02,39039
2017,36,2017-09-09,39093
2017,37,2017-09-16,39767
2017,38,2017-09-23,39251
2017,39,2017-09-30,39231
2017,40,2017-10-07,40007
2017,41,2017-10-14,39608
2017,42,2017-10-21,40416
2017,43,2017-10-28,40610
2017,44,2017-11-04,41309
2017,45,2017-11-11,41208
2017,46,2017-11-18,41585
2017,47,2017-11-25,42087
2017,48,2017-12-02,42499
2017,49,2017-12-09,43051
2017,50,2017-12-16,44729
2017,51,2017-12-23,46567
2017,52,2017-12-30,48145
2018,1,2018-01-06,52081
2018,2,2018-01-13,53489
2018,3,2018-01-20,51421
2018,4,2018-01-27,49664
2018,5,2018-02-03,47978
2018,6,2018-02-10,48248
2018,7,2018-02-17,47098
2018,8,2018-02-24,45391
2018,9,2018-03-03,44350
2018,10,2018-03-10,44474
2018,11,2018-03-17,43911
2018,12,2018-03-24,43642
2018,13,2018-03-31,42965
2018,14,2018-04-07,42976
2018,15,2018-04-14,43134
2018,16,2018-04-21,42002
2018,17,2018-04-28,41774
2018,18,2018-05-05,41572
2018,19,2018-05-12,40024
2018,20,2018-05-19,39158
2018,21,2018-05-26,39491
2018,22,2018-06-02,39165
2018,23,2018-06-09,39706
2018,24,2018-06-16,39278
2018,25,2018-06-23,39257
2018,26,2018-06-30,38999
2018,27,2018-07-07,39265
2018,28,2018-07-14,39024
2018,29,2018-07-21,38695
2018,30,2018-07-28,38506
2018,31,2018-08-04,38609
2018,32,2018-08-11,38790
2018,33,2018-08-18,38610
2018,34,2018-08-25,38711
2018,35,2018-09-01,38777
2018,36,2018-09-08,38272
2018,37,2018-09-15,39010
2018,38,2018-09-22,39545
2018,39,2018-09-29,39152
2018,40,2018-10-06,40131
2018,41,2018-10-13,39915
2018,42,2018-10-20,40899
2018,43,2018-10-27,41469
2018,44,2018-11-03,41391
2018,45,2018-11-10,41392
2018,46,2018-11-17,42469
2018,47,2018-11-24,42648
2018,48,2018-12-01,42988
2018,49,2018-12-08,43435
2018,50,2018-12-15,44027
2018,51,2018-12-22,44032
2018,52,2018-12-29,43682
2019,1,2019-01-05,45214
2019,2,2019-01-12,45491
2019,3,2019-01-19,45518
2019,4,2019-01-26,45245
2019,5,2019-02-02,45530
2019,6,2019-02-09,45407
2019,7,2019-02-16,45327
2019,8,2019-02-23,45492
2019,9,2019-03-02,45199
2019,10,2019-03-09,45636
2019,11,2019-03-16,45324
2019,12,2019-03-23,44629
2019,13,2019-03-30,44263
2019,14,2019-04-06,43816
2019,15,2019-04-13,42901
2019,16,2019-04-20,42254
2019,17,2019-04-27,41498
2019,18,2019-05-04,41622
2019,19,2019-05-11,41225
2019,20,2019-05-18,41333
2019,21,2019-05-25,41362
2019,22,2019-06-01,40454
2019,23,2019-06-08,40542
2019,24,2019-06-15,40409
2019,25,2019-06-22,40113
2019,26,2019-06-29,39985
2019,27,2019-07-06,39835
2019,28,2019-07-13,39659
2019,29,2019-07-20,39324
2019,30,2019-07-27,39324
2019,31,2019-08-03,39336
2019,32,2019-08-10,39207
2019,33,2019-08-17,38824
2019,34,2019-08-24,38899
2019,35,2019-08-31,38979
2019,36,2019-09-07,39144
2019,37,2019-09-14,39414
2019,38,2019-09-21,39531
2019,39,2019-09-28,40369
2019,40,2019-10-05,40093
2019,41,2019-10-12,40662
2019,42,2019-10-19,41707
2019,43,2019-10-26,41623
2019,44,2019-11-02,41457
2019,45,2019-11-09,42674
2019,46,2019-11-16,42955
2019,47,2019-11-23,43291
2019,48,2019-11-30,42697
2019,49,2019-12-07,44129
2019,50,2019-12-14,44345
2019,51,2019-12-21,44407
2019,52,2019-12-28,45225
2020,1,2020-01-04,46409
2020,2,2020-01-11,46967
2020,3,2020-01-18,45926
2020,4,2020-01-25,45841
2020,5,2020-02-01,45480
2020,6,2020-02-08,45918
2020,7,2020-02-15,45670
2020,8,2020-02-22,45661
2020,9,2020-02-29,45835
2020,10,2020-03-07,45861
2020,11,2020-03-14,44971
2020,12,2020-03-21,45396
2020,13,2020-03-28,46583
2020,14,2020-04-04,48923
2020,15,2020-04-11,49669
2020,16,2020-04-18,46971
2020,17,2020-04-25,45485
2020,18,2020-05-02,43421
2020,19,2020-05-09,42669
2020,20,2020-05-16,42271
2020,21,2020-05-23,41386
2020,22,2020-05-30,40552
2020,23,2020-06-06,40491
2020,24,2020-06-13,40412
2020,25,2020-06-20,40815
2020,26,2020-06-27,41068
2020,27,2020-07-04,41576
2020,28,2020-07-11,42152
2020,29,2020-07-18,42199
2020,30,2020-07-25,42273
2020,31,2020-08-01,42460
2020,32,2020-08-08,42139
2020,33,2020-08-15,42743
2020,34,2020-08-22,42257
2020,35,2020-08-29,41713
2020,36,2020-09-05,41454
2020,37,2020-09-12,41460
2020,38,2020-09-19,41887
2020,39,2020-09-26,42732
2020,40,2020-10-03,41914
2020,41,2020-10-10,42943
2020,42,2020-10-17,42086
2020,43,2020-10-24,42859
2020,44,2020-10-31,42992
2020,45,2020-11-07,44882
2020,46,2020-11-14,44640
2020,47,2020-11-21,45031
2020,48,2020-11-28,44679
2020,49,2020-12-05,46077
2020,50,2020-12-12,47806
2020,51,2020-12-19,47661
2020,52,2020-12-26,47859
2020,53,2021-01-02,48705
2021,1,2021-01-09,47716
2021,2,2021-01-16,48514
2021,3,2021-01-23,47076
2021,4,2021-01-30,46110
2021,5,2021-02-06,45958
2021,6,2021-02-13,44804
2021,7,2021-02-20,45242
2021,8,2021-02-27,44337
2021,9,2021-03-06,43283
2021,10,2021-03-13,42675
2021,11,2021-03-20,41819
2021,12,2021-03-27,42598
2021,13,2021-04-03,40843
2021,14,2021-04-10,42263
2021,15,2021-04-17,40983
2021,16,2021-04-24,41912
2021,17,2021-05-01,41799
2021,18,2021-05-08,41089
2021,19,2021-05-15,40947
2021,20,2021-05-22,41236
2021,21,2021-05-29,40737
2021,22,2021-06-05,40651
2021,23,2021-06-12,40688
2021,24,2021-06-19,41158
2021,25,2021-06-26,40972
2021,26,2021-07-03,41358
2021,27,2021-07-10,40915
2021,28,2021-07-17,40864
2021,29,2021-07-24,41161
2021,30,2021-07-31,41636
2021,31,2021-08-07,42533
2021,32,2021-08-14,42953
2021,33,2021-08-21,43148
2021,34,2021-08-28,43499
2021,35,2021-09-04,43451
2021,36,2021-09-11,43638
2021,37,2021-09-18,43654
2021,38,2021-09-25,43361
2021,39,2021-10-02,43796
2021,40,2021-10-09,43491
2021,41,2021-10-16,43359
2021,42,2021-10-23,43612
2021,43,2021-10-30,44024
2021,44,2021-11-06,44400
2021,45,2021-11-13,45428
2021,46,2021-11-20,44925
2021,47,2021-11-27,45511
2021,48,2021-12-04,46278
2021,49,2021-12-11,47279
2021,50,2021-12-18,46298
2021,51,2021-12-25,47270
2021,52,2022-01-01,47882
2022,1,2022-01-08,50436
2022,2,2022-01-15,52112
2022,3,2022-01-22,51219
2022,4,2022-01-29,50920
2022,5,2022-02-05,49514
2022,6,2022-02-12,48410
2022,7,2022-02-19,46126
2022,8,2022-02-26,44499
2022,9,2022-03-05,44678
2022,10,2022-03-12,43779
2022,11,2022-03-19,43600
2022,12,2022-03-26,42555
2022,13,2022-04-02,42534
2022,14,2022-04-09,42555
2022,15,2022-04-16,42527
2022,16,2022-04-23,41772
2022,17,2022-04-30,42160
2022,18,2022-05-07,42052
2022,19,2022-05-14,42372
2022,20,2022-05-21,42156
2022,21,2022-05-28,41457
2022,22,2022-06-04,41603
2022,23,2022-06-11,41989
2022,24,2022-06-18,41655
2022,25,2022-06-25,41935
2022,26,2022-07-02,41800
2022,27,2022-07-09,41569
2022,28,2022-07-16,41595
2022,29,2022-07-23,42456
2022,30,2022-07-30,41803
2022,31,2022-08-06,41997
2022,32,2022-08-13,41496
2022,33,2022-08-20,41828
2022,34,2022-08-27,41657
2022,35,2022-09-03,41410
2022,36,2022-09-10,41896
2022,37,2022-09-17,42127
2022,38,2022-09-24,42413
2022,39,2022-10-01,42404
2022,40,2022-10-08,42951
2022,41,2022-10-15,43344
2022,42,2022-10-22,43772
2022,43,2022-10-29,43935
2022,44,2022-11-05,44351
2022,45,2022-11-12,44555
2022,46,2022-11-19,45219
2022,47,2022-11-26,47539
2022,48,2022-12-03,48247
2022,49,2022-12-10,48907
2022,50,2022-12-17,48677
2022,51,2022-12-24,49753
2022,52,2022-12-31,51335
2023,1,2023-01-07,49760
2023,2,2023-01-14,48101
2023,3,2023-01-21,46687
2023,4,2023-01-28,45582
2023,5,2023-02-04,45852
2023,6,2023-02-11,45831
2023,7,2023-02-18,45503
2023,8,2023-02-25,45490
2023,9,2023-03-04,44764
2023,10,2023-03-11,44350
2023,11,2023-03-18,44972
2023,12,2023-03-25,44717
2023,13,2023-04-01,44158
2023,14,2023-04-08,43283
2023,15,2023-04-15,43700
2023,16,2023-04-22,42807
2023,17,2023-04-29,42683
2023,18,2023-05-06,42485
2023,19,2023-05-13,42679
2023,20,2023-05-20,41466
2023,21,2023-05-27,40900
2023,22,2023-06-03,41396
2023,23,2023-06-10,41083
2023,24,2023-06-17,41376
2023,25,2023-06-24,40798
2023,26,2023-07-01,40570
2023,27,2023-07-08,40391
2023,28,2023-07-15,40220
2023,29,2023-07-22,39957
2023,30,2023-07-29,40007
2023,31,2023-08-05,39832
2023,32,2023-08-12,40127
2023,33,2023-08-19,39649
2023,34,2023-08-26,38632
2023,35,2023-09-02,37473
2023,36,2023-09-09,35566
