date,elevation_end_of_month_ft
2017-01,1086.08
2017-02,1089.78
2017-03,1088.26
2017-04,1084.89
2017-05,1081.56
2017-06,1079.52
2017-07,1079.03
2017-08,1081.44
2017-09,1082.05
2017-10,1082.30
2017-11,1080.95
2017-12,1082.52
2018-01,1087.50
2018-02,1088.21
2018-03,1088.11
2018-04,1084.49
2018-05,1080.00
2018-06,1076.81
2018-07,1077.43
2018-08,1078.88
2018-09,1078.29
2018-10,1078.52
2018-11,1078.32
2018-12,1081.46
2019-01,1085.75
2019-02,1087.97
2019-03,1090.24
2019-04,1088.95
2019-05,1086.48
2019-06,1084.71
2019-07,1082.82
2019-08,1083.45
2019-09,1083.00
2019-10,1082.61
2019-11,1083.85
2019-12,1090.49
2020-01,1094.68
2020-02,1096.27
2020-03,1098.59
2020-04,1096.39
2020-05,1091.32
2020-06,1087.07
2020-07,1084.63
2020-08,1084.04
2020-09,1083.21
2020-10,1081.88
2020-11,1081.07
2020-12,1083.72
2021-01,1085.95
2021-02,1087.26
2021-03,1084.39
2021-04,1079.30
2021-05,1073.50
2021-06,1068.77
2021-07,1067.65
2021-08,1067.96
2021-09,1067.68
2021-10,1066.77
2021-11,1064.97
2021-12,1066.39
2022-01,1067.09
2022-02,1066.78
2022-03,1061.49
2022-04,1054.69
2022-05,1047.69
2022-06,1043.02
2022-07,1040.92
2022-08,1044.28
2022-09,1045.03
2022-10,1046.28
2022-11,1043.02
2022-12,1044.82
2023-01,1046.97
2023-02,1047.02
2023-03,1046.03
2023-04,1049.69
2023-05,1054.28
2023-06,1056.39
2023-07,1061.02
2023-08,1065.35
2023-09,1065.82
2023-10,1065.34
2023-11,1064.81
2023-12,1068.18
2024-01,1072.67
2024-02,1076.52
2024-03,1075.35
2024-04,1072.24
2024-05,1067.08
2024-06,1062.50
2024-07,1061.49
2024-08,1063.16
2024-09,1063.71
2024-10,1061.22
2024-11,1060.89
2024-12,1063.29
2025-01,1066.37
2025-02,1068.18
2025-03,1066.43
2025-04,1062.23
2025-05,1057.02
2025-06,1054.98
2025-07,1054.14
2025-08,1055.54
2025-09,1057.25
2025-10,1057.57
2025-11,1058.91
2025-12,1062.24
2026-01,1065.37
2026-02,1066.14
2026-03,1062.05
2026-04,1056.32